출발 국가,항공사,출발 공항,도착 공항,도착 국가,도착국가이름,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,9,13,13,13,1326
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,10,14,14,14,1360
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,11,13,13,13,1290
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,12,14,14,14,1289
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2018,1,13,13,13,1475
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2018,2,12,12,12,1281
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2018,3,13,13,13,1344
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2018,4,13,13,13,1681
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2018,5,13,13,13,2022
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,6,17,17,17,2188
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,7,18,18,18,2304
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,8,17,17,17,2176
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,9,17,17,17,2176
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,10,15,15,15,1920
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,11,8,8,8,1024
KAZ,Aeroflot,TSE,LED,RUS,러시아,2016,12,9,9,9,1152
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,1,8,8,8,1024
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,2,8,8,8,1024
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,3,10,10,10,1320
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,4,18,18,18,2304
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,5,17,17,17,2188
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,6,17,17,17,2268
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,7,18,18,18,2380
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,8,18,18,18,2316
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,9,17,17,17,2176
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,10,13,13,13,1664
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,11,8,8,8,1064
KAZ,Aeroflot,TSE,LED,RUS,러시아,2017,12,10,10,10,1280
KAZ,Aeroflot,TSE,LED,RUS,러시아,2018,1,4,4,4,512
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,6,38,38,38,6142
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,7,40,40,40,6308
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,8,39,39,39,6222
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,9,39,39,39,6392
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,10,39,39,39,6374
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,11,38,38,38,6567
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2016,12,40,40,40,6762
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,1,39,39,39,6600
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,2,36,36,36,6071
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,3,40,40,40,6957
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,4,38,38,38,6395
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,5,38,38,38,6663
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,6,39,39,39,6700
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,7,40,40,40,6863
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,8,39,39,39,6636
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,9,40,40,40,6765
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,10,40,40,40,6860
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,11,38,38,38,6603
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2017,12,40,40,40,7017
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2018,1,38,38,38,6624
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2018,2,36,36,36,6212
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2018,3,43,43,43,7454
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2018,4,51,51,51,8403
KAZ,Aeroflot,TSE,SVO,RUS,러시아,2018,5,54,54,54,9039
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,6,16,16,16,2682
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,7,16,16,16,2676
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,8,17,17,17,2844
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,9,18,18,18,3018
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,10,18,18,18,3024
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,11,20,20,20,3354
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2016,12,19,19,19,3180
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,1,23,23,23,3864
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,2,16,16,16,2688
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,3,19,19,19,3192
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,4,16,16,16,2688
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,5,14,14,14,2352
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,6,13,13,13,2166
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,7,13,13,13,2172
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,8,18,18,18,3024
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,9,13,13,13,2184
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,10,23,23,23,3834
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,11,24,24,24,4032
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2017,12,22,22,22,3696
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2018,1,24,24,24,4020
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2018,2,14,14,14,2352
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2018,3,23,23,23,3846
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2018,4,20,20,20,3354
KAZ,Air Arabia,ALA,SHJ,UAE,아랍에미리트,2018,5,17,17,17,2844
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,6,9,9,9,1506
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,7,9,9,9,1512
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,8,8,8,8,1344
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,9,9,9,9,1506
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,10,9,9,9,1512
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,11,13,13,13,2184
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2016,12,11,11,11,1848
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2017,1,9,9,9,1506
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2017,10,7,7,7,1170
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2017,11,12,12,12,2010
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2017,12,11,11,11,1848
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2018,1,12,12,12,2016
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2018,2,8,8,8,1338
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2018,3,13,13,13,2178
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2018,4,11,11,11,1848
KAZ,Air Arabia,TSE,SHJ,UAE,아랍에미리트,2018,5,4,4,4,672
KAZ,Air Astana,ALA,AYT,TUR,터키,2016,6,11,11,11,2396
KAZ,Air Astana,ALA,AYT,TUR,터키,2016,7,27,27,27,6021
KAZ,Air Astana,ALA,AYT,TUR,터키,2016,8,27,27,27,6021
KAZ,Air Astana,ALA,AYT,TUR,터키,2016,9,5,5,5,944
KAZ,Air Astana,ALA,AYT,TUR,터키,2017,5,4,4,4,892
KAZ,Air Astana,ALA,AYT,TUR,터키,2017,6,22,22,22,4849
KAZ,Air Astana,ALA,AYT,TUR,터키,2017,7,31,31,31,6628
KAZ,Air Astana,ALA,AYT,TUR,터키,2017,8,29,29,29,6195
KAZ,Air Astana,ALA,AYT,TUR,터키,2017,9,10,10,10,2186
KAZ,Air Astana,ALA,AYT,TUR,터키,2018,5,6,6,6,1338
KAZ,Air Astana,ALA,BKK,THA,타이,2016,6,21,21,21,3543
