,출발 국가,도착 국가,출발국가이름,도착국가이름
567,TJK,KAZ,타지키스탄,카자흐스탄
568,TJK,KAZ,타지키스탄,카자흐스탄
569,TJK,KAZ,타지키스탄,카자흐스탄
570,TJK,KAZ,타지키스탄,카자흐스탄
571,TJK,KAZ,타지키스탄,카자흐스탄
572,TJK,KAZ,타지키스탄,카자흐스탄
573,TJK,KAZ,타지키스탄,카자흐스탄
574,TJK,KAZ,타지키스탄,카자흐스탄
575,TJK,KAZ,타지키스탄,카자흐스탄
576,TJK,KAZ,타지키스탄,카자흐스탄
577,TJK,KAZ,타지키스탄,카자흐스탄
578,TJK,KAZ,타지키스탄,카자흐스탄
579,TJK,KAZ,타지키스탄,카자흐스탄
580,TJK,KAZ,타지키스탄,카자흐스탄
581,TJK,KAZ,타지키스탄,카자흐스탄
582,TJK,KAZ,타지키스탄,카자흐스탄
583,TJK,KAZ,타지키스탄,카자흐스탄
584,TJK,KAZ,타지키스탄,카자흐스탄
585,TJK,KAZ,타지키스탄,카자흐스탄
586,TJK,KAZ,타지키스탄,카자흐스탄
587,TJK,KAZ,타지키스탄,카자흐스탄
588,TJK,KAZ,타지키스탄,카자흐스탄
589,TJK,KAZ,타지키스탄,카자흐스탄
590,TJK,KAZ,타지키스탄,카자흐스탄
591,TJK,KAZ,타지키스탄,카자흐스탄
592,TJK,KAZ,타지키스탄,카자흐스탄
593,TJK,KAZ,타지키스탄,카자흐스탄
594,TJK,KAZ,타지키스탄,카자흐스탄
595,TJK,KAZ,타지키스탄,카자흐스탄
596,TJK,KAZ,타지키스탄,카자흐스탄
597,TJK,KAZ,타지키스탄,카자흐스탄
598,TJK,KAZ,타지키스탄,카자흐스탄
599,TJK,KAZ,타지키스탄,카자흐스탄
600,TJK,KAZ,타지키스탄,카자흐스탄
601,TJK,KAZ,타지키스탄,카자흐스탄
602,TJK,KAZ,타지키스탄,카자흐스탄
603,TJK,KAZ,타지키스탄,카자흐스탄
604,TJK,KAZ,타지키스탄,카자흐스탄
605,TJK,KAZ,타지키스탄,카자흐스탄
606,TJK,KAZ,타지키스탄,카자흐스탄
607,TJK,KAZ,타지키스탄,카자흐스탄
608,TJK,KAZ,타지키스탄,카자흐스탄
609,TJK,KAZ,타지키스탄,카자흐스탄
610,TJK,KAZ,타지키스탄,카자흐스탄
611,TJK,KAZ,타지키스탄,카자흐스탄
612,TJK,KAZ,타지키스탄,카자흐스탄
613,TJK,KAZ,타지키스탄,카자흐스탄
614,TJK,KAZ,타지키스탄,카자흐스탄
615,TJK,KAZ,타지키스탄,카자흐스탄
616,TJK,KAZ,타지키스탄,카자흐스탄
617,TJK,KAZ,타지키스탄,카자흐스탄
618,TJK,KAZ,타지키스탄,카자흐스탄
619,TJK,KAZ,타지키스탄,카자흐스탄
620,TJK,KAZ,타지키스탄,카자흐스탄
621,TJK,KAZ,타지키스탄,카자흐스탄
622,KAZ,TJK,카자흐스탄,타지키스탄
623,KAZ,TJK,카자흐스탄,타지키스탄
624,KAZ,TJK,카자흐스탄,타지키스탄
